運行ルールID,service_id,date ,exception_type,標準地域コード
1,1,20170429,1,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,20170503,1,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,20170504,1,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,20170505,1,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,20170717,1,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,20170811,1,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,20170918,1,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,20170923,1,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,20171009,1,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,20171103,1,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,20171123,1,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,20171223,1,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,20180108,1,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,20180211,1,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,20180321,1,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,20171230,2,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,20171231,2,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,20180101,2,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,20180102,2,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,20180103,2,http://statdb.nstac.go.jp/lod/sac/C18207
2,2,20170429,1,http://statdb.nstac.go.jp/lod/sac/C18207
2,2,20170503,1,http://statdb.nstac.go.jp/lod/sac/C18207
2,2,20170504,1,http://statdb.nstac.go.jp/lod/sac/C18207
2,2,20170505,1,http://statdb.nstac.go.jp/lod/sac/C18207
2,2,20170717,1,http://statdb.nstac.go.jp/lod/sac/C18207
2,2,20170811,1,http://statdb.nstac.go.jp/lod/sac/C18207
2,2,20170918,1,http://statdb.nstac.go.jp/lod/sac/C18207
2,2,20170923,1,http://statdb.nstac.go.jp/lod/sac/C18207
2,2,20171009,1,http://statdb.nstac.go.jp/lod/sac/C18207
2,2,20171103,1,http://statdb.nstac.go.jp/lod/sac/C18207
2,2,20171123,1,http://statdb.nstac.go.jp/lod/sac/C18207
2,2,20171223,1,http://statdb.nstac.go.jp/lod/sac/C18207
2,2,20180108,1,http://statdb.nstac.go.jp/lod/sac/C18207
2,2,20180211,1,http://statdb.nstac.go.jp/lod/sac/C18207
2,2,20180321,1,http://statdb.nstac.go.jp/lod/sac/C18207
2,2,20171230,2,http://statdb.nstac.go.jp/lod/sac/C18207
2,2,20171231,2,http://statdb.nstac.go.jp/lod/sac/C18207
2,2,20180101,2,http://statdb.nstac.go.jp/lod/sac/C18207
2,2,20180102,2,http://statdb.nstac.go.jp/lod/sac/C18207
2,2,20180103,2,http://statdb.nstac.go.jp/lod/sac/C18207
3,3,20170411,2,http://statdb.nstac.go.jp/lod/sac/C18207
3,3,20170413,2,http://statdb.nstac.go.jp/lod/sac/C18207
3,3,20170414,2,http://statdb.nstac.go.jp/lod/sac/C18207
3,3,20170418,2,http://statdb.nstac.go.jp/lod/sac/C18207
3,3,20170420,2,http://statdb.nstac.go.jp/lod/sac/C18207
3,3,20170421,2,http://statdb.nstac.go.jp/lod/sac/C18207
3,3,20170425,2,http://statdb.nstac.go.jp/lod/sac/C18207
3,3,20170427,2,http://statdb.nstac.go.jp/lod/sac/C18207
3,3,20170428,2,http://statdb.nstac.go.jp/lod/sac/C18207
3,3,20170502,2,http://statdb.nstac.go.jp/lod/sac/C18207
3,3,20170504,2,http://statdb.nstac.go.jp/lod/sac/C18207
3,3,20170505,2,http://statdb.nstac.go.jp/lod/sac/C18207
3,3,20170509,2,http://statdb.nstac.go.jp/lod/sac/C18207
3,3,20170511,2,http://statdb.nstac.go.jp/lod/sac/C18207
3,3,20170512,2,http://statdb.nstac.go.jp/lod/sac/C18207
3,3,20170516,2,http://statdb.nstac.go.jp/lod/sac/C18207
3,3,20170518,2,http://statdb.nstac.go.jp/lod/sac/C18207
3,3,20170519,2,http://statdb.nstac.go.jp/lod/sac/C18207
3,3,20170523,2,http://statdb.nstac.go.jp/lod/sac/C18207
3,3,20170525,2,http://statdb.nstac.go.jp/lod/sac/C18207
3,3,20170526,2,http://statdb.nstac.go.jp/lod/sac/C18207
3,3,20170530,2,http://statdb.nstac.go.jp/lod/sac/C18207
3,3,20170601,2,http://statdb.nstac.go.jp/lod/sac/C18207
3,3,20170602,2,http://statdb.nstac.go.jp/lod/sac/C18207
3,3,20170606,2,http://statdb.nstac.go.jp/lod/sac/C18207
3,3,20170608,2,http://statdb.nstac.go.jp/lod/sac/C18207
3,3,20170609,2,http://statdb.nstac.go.jp/lod/sac/C18207
3,3,20170613,2,http://statdb.nstac.go.jp/lod/sac/C18207
3,3,20170615,2,http://statdb.nstac.go.jp/lod/sac/C18207
3,3,20170616,2,http://statdb.nstac.go.jp/lod/sac/C18207
3,3,20170620,2,http://statdb.nstac.go.jp/lod/sac/C18207
3,3,20170622,2,http://statdb.nstac.go.jp/lod/sac/C18207
3,3,20170623,2,http://statdb.nstac.go.jp/lod/sac/C18207
3,3,20170627,2,http://statdb.nstac.go.jp/lod/sac/C18207
3,3,20170629,2,http://statdb.nstac.go.jp/lod/sac/C18207
3,3,20170630,2,http://statdb.nstac.go.jp/lod/sac/C18207
3,3,20170704,2,http://statdb.nstac.go.jp/lod/sac/C18207
3,3,20170706,2,http://statdb.nstac.go.jp/lod/sac/C18207
