路線番号,trip_id,stop_sequence,stop_id,arrival_time,departure_time,pickup_type,drop_type,shape_dist_trabel,説明(日本語),説明(英語),標準地域コード
1,1,1,86,8:00:00,8:00:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,2,89,8:03:00,8:03:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,3,90,8:03:59,8:03:59,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,4,91,8:05:59,8:05:59,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,5,272,8:07:00,8:07:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,6,273,8:09:00,8:09:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,7,274,8:09:59,8:09:59,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,8,275,8:11:00,8:11:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,9,276,8:13:00,8:13:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,10,277,8:15:00,8:15:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,11,278,8:16:00,8:16:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,12,204,8:17:00,8:17:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,13,205,8:18:00,8:18:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,14,95,8:19:00,8:19:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,15,4,8:20:00,8:20:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,16,266,8:21:00,8:21:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,17,1,8:22:00,8:22:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,18,37,8:24:59,8:24:59,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,19,267,8:26:59,8:26:59,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,20,268,8:28:00,8:28:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,21,253,8:30:00,8:30:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,22,269,8:31:00,8:31:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,23,270,8:32:00,8:32:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,24,271,8:33:00,8:33:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,1,25,86,8:36:00,8:36:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,2,1,37,8:03:59,8:03:59,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,2,2,1,8:07:00,8:07:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,2,3,283,8:07:59,8:07:59,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,2,4,3,8:09:00,8:09:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,2,5,141,8:09:59,8:09:59,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,2,6,187,8:11:00,8:11:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,2,7,188,8:11:59,8:11:59,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,2,8,284,8:13:00,8:13:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,2,9,285,8:13:59,8:13:59,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,2,10,276,8:16:00,8:16:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,2,11,286,8:19:00,8:19:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,2,12,287,8:20:00,8:20:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,2,13,272,8:22:00,8:22:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,2,14,22,8:23:00,8:23:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,2,15,23,8:24:59,8:24:59,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,2,16,24,8:26:00,8:26:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,2,17,25,8:26:59,8:26:59,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,2,18,26,8:28:00,8:28:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,2,19,27,8:28:59,8:28:59,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,2,20,279,8:32:00,8:32:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,2,21,280,8:33:00,8:33:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,2,22,269,8:34:00,8:34:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,2,23,232,8:35:00,8:35:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,2,24,281,8:37:00,8:37:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,2,25,282,8:38:00,8:38:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,2,26,37,8:40:00,8:40:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,2,27,1,8:43:00,8:43:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,3,1,27,8:20:00,8:20:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,3,2,279,8:23:00,8:23:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,3,3,280,8:24:00,8:24:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,3,4,269,8:24:59,8:24:59,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,3,5,232,8:26:00,8:26:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,3,6,281,8:28:00,8:28:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,3,7,282,8:28:59,8:28:59,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,3,8,37,8:31:00,8:31:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,3,9,1,8:34:00,8:34:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,3,10,283,8:35:00,8:35:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,3,11,3,8:36:00,8:36:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,3,12,141,8:37:00,8:37:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,3,13,187,8:38:00,8:38:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,3,14,188,8:39:00,8:39:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,3,15,284,8:40:00,8:40:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,3,16,285,8:41:00,8:41:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,3,17,276,8:43:00,8:43:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,3,18,286,8:46:00,8:46:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,3,19,287,8:46:59,8:46:59,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,3,20,272,8:48:59,8:48:59,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,3,21,22,8:50:00,8:50:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,4,1,22,9:55:00,9:55:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,4,2,23,9:57:00,9:57:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,4,3,24,9:58:00,9:58:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,4,4,25,9:59:00,9:59:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,4,5,26,10:00:00,10:00:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,4,6,27,10:01:00,10:01:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,4,7,279,10:04:00,10:04:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,4,8,280,10:05:00,10:05:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,4,9,269,10:06:00,10:06:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,4,10,232,10:07:00,10:07:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,4,11,281,10:09:00,10:09:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,4,12,282,10:10:00,10:10:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,4,13,38,10:12:00,10:12:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,4,14,81,10:14:00,10:14:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,4,15,37,10:16:00,10:16:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,4,16,1,10:19:00,10:19:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,4,17,283,10:20:00,10:20:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,4,18,3,10:21:00,10:21:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,4,19,141,10:22:00,10:22:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,4,20,187,10:23:00,10:23:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,4,21,188,10:24:00,10:24:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,4,22,284,10:24:59,10:24:59,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,4,23,285,10:26:00,10:26:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,4,24,276,10:28:00,10:28:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,4,25,286,10:31:00,10:31:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,4,26,287,10:32:00,10:32:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,4,27,272,10:34:00,10:34:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,4,28,22,10:35:00,10:35:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,5,1,1,9:55:00,9:55:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,5,2,283,9:56:00,9:56:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,5,3,3,9:57:00,9:57:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,5,4,141,9:58:00,9:58:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,5,5,187,9:59:00,9:59:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,5,6,188,10:00:00,10:00:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,5,7,284,10:01:00,10:01:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,5,8,285,10:02:00,10:02:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,5,9,276,10:04:00,10:04:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,5,10,286,10:07:00,10:07:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,5,11,287,10:08:00,10:08:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,5,12,272,10:10:00,10:10:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,5,13,22,10:11:00,10:11:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,5,14,23,10:13:00,10:13:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,5,15,24,10:14:00,10:14:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,5,16,25,10:15:00,10:15:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
1,5,17,26,10:16:00,10:16:00,0,0,,,,http://statdb.nstac.go.jp/lod/sac/C18207
