stop_id,stop_name,バス停名称(英語),stop_code,stop_desc,説明(英語),stop_lat,stop_lon,zone_id,stop_url,parent_station,wheelchair_boarding,標準地域コード
1,神明駅,,,,,35.972846,136.181591,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
2,ふくしん神明支店前（三六町２丁目）（南）,,,,,35.972749,136.179442,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
3,三六連隊跡神明　神明公民館（東）,,,,,35.970768,136.178726,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
4,三六連隊跡神明　神明公民館（西）,,,,,35.970837,136.178589,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
5,糺町,,,,,35.977779,136.175659,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
6,杉本,,,,,35.978962,136.174591,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
7,近松の里たちまち　 立待公民館,,,,,35.982731,136.172928,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
8,吉江七曲り通り前,,,,,35.987221,136.17038,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
9,JA鯖江北支店（下杉本）,,,,,35.984108,136.168579,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
10,サンリーブ前（上杉本）,,,,,35.981773,136.166824,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
11,石田上（東）,,,,,35.978498,136.159964,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
12,石田中（東）,,,,,35.97383,136.158816,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
13,小泉,,,,,35.968365,136.157791,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
14,大倉,,,,,35.965446,136.157547,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
15,吉川なす発祥の地吉川　吉川公民館,,,,,35.962898,136.157623,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
16,吉田,,,,,35.95982,136.157867,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
17,二丁掛,,,,,35.953186,136.157288,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
18,下氏家町集落センター,,,,,35.946129,136.154831,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
19,花と緑のまち豊　豊公民館,,,,,35.945745,136.151966,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
20,当田町公民館,,,,,35.947819,136.163574,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
21,熊田（北）,,,,,35.948452,136.166473,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
22,嚮陽会館（北）,,,,,35.947186,136.179916,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
23,西鯖江駅前（北）,,,,,35.946896,136.182724,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
24,市民ホールつつじ前（本山前）（北）,,,,,35.946499,136.18454,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
25,本町２丁目（東）,,,,,35.945782,136.185379,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
26,本町1丁目（東）,,,,,35.944393,136.185287,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
27,JR鯖江駅（２番のりば）,,,,,35.943451,136.187912,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
28,柳町１丁目（北）,,,,,35.94648,136.190048,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
29,柳町３丁目（北）,,,,,35.946571,136.191895,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
30,体育館西（東）,,,,,35.944312,136.196507,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
31,めがね会館,,,,,35.942931,136.197885,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
32,体育館北（南）,,,,,35.946616,136.198607,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
33,Ａコープ東さばえ店前（東鯖江４丁目）,,,,,35.948985,136.198229,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
34,上河端口,,,,,35.9534,136.200607,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
35,上河端,,,,,35.954453,136.202576,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
36,曲木,,,,,35.954773,136.20639,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
37,神明苑,,,,,35.972328,136.182953,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
38,アル・プラザ鯖江,,,,,35.968698,136.18919,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
39,ＪＲ北鯖江駅西口,,,,,35.971585,136.197687,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
40,下河端西,,,,,35.967285,136.19873,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
41,下河端南,,,,,35.965073,136.201569,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
42,高年大学前,,,,,35.964607,136.207947,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
43,舟枝,,,,,35.963261,136.208969,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
44,桜あふれるまち中河　中河小学校前（北）,,,,,35.954792,136.209076,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
45,樋口（北）,,,,,35.953362,136.210724,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
46,中野町松成,,,,,35.955521,136.221268,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
47,松成,,,,,35.956814,136.224213,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
48,落井口,,,,,35.95422,136.229874,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
49,今北古墳群,,,,,35.957835,136.229889,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
50,乙坂今北,,,,,35.961852,136.229948,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
51,大野,,,,,35.97316,136.232544,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
52,文殊山の里片上　片上公民館,,,,,35.973378,136.231584,,,,,http://statdb.nstac.go.jp/lod/sac/C18207
