trip_id,route_id,便番号,service_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,wheelchair_accesible,jp_trip_desc,標準地域コード
1,1,1,2,第1便,JR鯖江駅,0,,1,,,http://statdb.nstac.go.jp/lod/sac/C18207
2,1,2,2,第2便,神明駅,1,,2,,,http://statdb.nstac.go.jp/lod/sac/C18207
3,1,3,2,第3便,嚮陽会館,1,,3,,,http://statdb.nstac.go.jp/lod/sac/C18207
4,1,4,2,第4便,嚮陽会館,1,,4,,,http://statdb.nstac.go.jp/lod/sac/C18207
5,1,5,1,第5便,神明駅,1,,5,,,http://statdb.nstac.go.jp/lod/sac/C18207
6,1,6,1,第6便,神明苑,0,,6,,,http://statdb.nstac.go.jp/lod/sac/C18207
7,1,7,1,第7便,JR鯖江駅,1,,7,,,http://statdb.nstac.go.jp/lod/sac/C18207
8,1,8,1,第8便,神明駅,0,,8,,,http://statdb.nstac.go.jp/lod/sac/C18207
9,1,9,1,第9便,JR鯖江駅,1,,9,,,http://statdb.nstac.go.jp/lod/sac/C18207
10,1,10,1,第10便,神明苑,0,,6,,,http://statdb.nstac.go.jp/lod/sac/C18207
11,1,11,1,第11便,神明駅,0,,10,,,http://statdb.nstac.go.jp/lod/sac/C18207
12,1,12,2,第12便,JR鯖江駅,1,,9,,,http://statdb.nstac.go.jp/lod/sac/C18207
13,1,13,2,第13便,神明駅,1,,11,,,http://statdb.nstac.go.jp/lod/sac/C18207
14,1,14,2,第14便,神明駅,1,,5,,,http://statdb.nstac.go.jp/lod/sac/C18207
15,1,15,2,第15便,嚮陽会館,1,,4,,,http://statdb.nstac.go.jp/lod/sac/C18207
16,1,16,2,第16便,JR鯖江駅,0,,12,,,http://statdb.nstac.go.jp/lod/sac/C18207
17,2,1,1,第1便,神明駅,1,,13,,,http://statdb.nstac.go.jp/lod/sac/C18207
18,2,2,1,第2便,神明駅,0,,14,,,http://statdb.nstac.go.jp/lod/sac/C18207
19,2,3,1,第3便,JR鯖江駅,1,,13,,,http://statdb.nstac.go.jp/lod/sac/C18207
20,3,1,1,第1便,嚮陽会館,0,,15,,,http://statdb.nstac.go.jp/lod/sac/C18207
21,3,2,2,第2便,嚮陽会館,0,,15,,,http://statdb.nstac.go.jp/lod/sac/C18207
22,3,3,1,第3便,嚮陽会館,1,,16,,,http://statdb.nstac.go.jp/lod/sac/C18207
23,3,4,2,第4便,嚮陽会館,1,,16,,,http://statdb.nstac.go.jp/lod/sac/C18207
24,4,1,2,第1便,公立丹南病院,0,,17,,,http://statdb.nstac.go.jp/lod/sac/C18207
25,4,2,1,第2便,神明駅,0,,18,,,http://statdb.nstac.go.jp/lod/sac/C18207
26,4,3,2,第3便,神明駅,0,,18,,,http://statdb.nstac.go.jp/lod/sac/C18207
27,4,4,1,第4便,公立丹南病院,1,,19,,,http://statdb.nstac.go.jp/lod/sac/C18207
28,4,5,2,第5便,公立丹南病院,1,,20,,,http://statdb.nstac.go.jp/lod/sac/C18207
29,5,1,3,第1便,公立丹南病院,1,,21,,,http://statdb.nstac.go.jp/lod/sac/C18207
30,5,1,4,第1便,公立丹南病院,1,,22,,,http://statdb.nstac.go.jp/lod/sac/C18207
31,5,2,4,第2便,高年大学,0,,23,,,http://statdb.nstac.go.jp/lod/sac/C18207
32,5,3,1,第3便,神明駅,0,,24,,,http://statdb.nstac.go.jp/lod/sac/C18207
33,5,4,3,第4便,公立丹南病院,0,,25,,,http://statdb.nstac.go.jp/lod/sac/C18207
34,5,4,4,第4便,公立丹南病院,0,,26,,,http://statdb.nstac.go.jp/lod/sac/C18207
35,5,5,1,第5便,公立丹南病院,1,,27,,,http://statdb.nstac.go.jp/lod/sac/C18207
36,5,6,2,第6便,神明駅,1,,28,,,http://statdb.nstac.go.jp/lod/sac/C18207
37,6,1,2,第1便,神明駅,0,,29,,,http://statdb.nstac.go.jp/lod/sac/C18207
