stop_id,stop_name,stop_code,stop_desc,stop_lat,stop_lon,zone_id,stop_url,parent_station,wheelchair_boarding
1,神明駅,,,35.972846,136.181591,z1,,,
2,ふくしん神明支店前（三六町２丁目）（南）,,,35.972749,136.179442,z1,,,
3,三六連隊跡神明　神明公民館（東）,,,35.970768,136.178726,z1,,,
4,三六連隊跡神明　神明公民館（西）,,,35.970837,136.178589,z1,,,
5,糺町,,,35.977779,136.175659,z1,,,
6,杉本,,,35.978962,136.174591,z1,,,
7,近松の里たちまち　立待公民館,,,35.982731,136.172928,z1,,,
8,吉江七曲り通り前,,,35.987221,136.17038,z1,,,
9,JA鯖江北支店（下杉本）,,,35.984108,136.168579,z1,,,
10,サンリーブ前（上杉本）,,,35.981773,136.166824,z1,,,
11,石田上（東）,,,35.978498,136.159964,z1,,,
12,石田中（東）,,,35.97383,136.158816,z1,,,
13,小泉,,,35.968365,136.157791,z1,,,
14,大倉,,,35.965446,136.157547,z1,,,
15,吉川なす発祥の地吉川　吉川公民館,,,35.962898,136.157623,z1,,,
16,吉田,,,35.95982,136.157867,z1,,,
17,二丁掛,,,35.953186,136.157288,z1,,,
18,下氏家町集落センター,,,35.946129,136.154831,z1,,,
19,花と緑のまち豊　豊公民館,,,35.945745,136.151966,z1,,,
20,当田町公民館,,,35.947819,136.163574,z1,,,
21,熊田（北）,,,35.948452,136.166473,z1,,,
22,嚮陽会館（北）,,,35.947186,136.179916,z1,,,
23,西鯖江駅前（北）,,,35.946896,136.182724,z1,,,
24,市民ホールつつじ前（本山前）（北）,,,35.946499,136.18454,z1,,,
25,本町２丁目（東）,,,35.945782,136.185379,z1,,,
26,本町1丁目（東）,,,35.944393,136.185287,z1,,,
27,JR鯖江駅（２番のりば）,,,35.943451,136.187912,z1,,,
28,柳町１丁目（北）,,,35.94648,136.190048,z1,,,
29,柳町３丁目（北）,,,35.946571,136.191895,z1,,,
30,体育館西（東）,,,35.944312,136.196507,z1,,,
31,めがね会館,,,35.942931,136.197885,z1,,,
32,体育館北（南）,,,35.946616,136.198607,z1,,,
33,Ａコープ東さばえ店前（東鯖江４丁目）,,,35.948985,136.198229,z1,,,
34,上河端口,,,35.9534,136.200607,z1,,,
35,上河端,,,35.954453,136.202576,z1,,,
36,曲木,,,35.954773,136.20639,z1,,,
37,神明苑,,,35.972328,136.182953,z1,,,
38,アル・プラザ鯖江,,,35.968698,136.18919,z1,,,
39,ＪＲ北鯖江駅西口,,,35.971585,136.197687,z1,,,
40,下河端西,,,35.967285,136.19873,z1,,,
41,下河端南,,,35.965073,136.201569,z1,,,
42,高年大学前,,,35.964607,136.207947,z1,,,
43,舟枝,,,35.963261,136.208969,z1,,,
44,桜あふれるまち中河　中河小学校前（北）,,,35.954792,136.209076,z1,,,
45,樋口（北）,,,35.953362,136.210724,z1,,,
46,中野町松成,,,35.955521,136.221268,z1,,,
47,松成,,,35.956814,136.224213,z1,,,
48,落井口,,,35.95422,136.229874,z1,,,
49,今北古墳群,,,35.957835,136.229889,z1,,,
50,乙坂今北,,,35.961852,136.229948,z1,,,
51,大野,,,35.97316,136.232544,z1,,,
52,文殊山の里片上　片上公民館,,,35.973378,136.231584,z1,,,
53,あじさいのまち北中山　北中山公民館（北）,,,35.952278,136.238166,z1,,,
54,磯部口（北）,,,35.952354,136.241089,z1,,,
55,戸口,,,35.952362,136.246353,z1,,,
56,別司口,,,35.949047,136.257309,z1,,,
57,別司,,,35.948803,136.259628,z1,,,
58,河和田口,,,35.948715,136.267838,z1,,,
59,河和田,,,35.949532,136.269836,z1,,,
60,莇生田口（北）,,,35.948151,136.271927,z1,,,
61,自然豊かなまち河和田　河和田ｺﾐｭﾆﾃｨｾﾝﾀｰ（東）,,,35.951012,136.274445,z1,,,
62,うるしの里会館,,,35.953178,136.274216,z1,,,
63,河和田小学校前（北）,,,35.953854,136.277969,z1,,,
64,金谷口（北）,,,35.954277,136.282043,z1,,,
65,北中（北）,,,35.954308,136.284439,z1,,,
66,寺中,,,35.954597,136.289703,z1,,,
67,尾花,,,35.952206,136.294693,z1,,,
68,ラポーゼかわだ（南）,,,35.948242,136.301361,z1,,,
69,ラポーゼかわだ（北）,,,35.948772,136.301361,z1,,,
70,北中（南）,,,35.954227,136.284424,z1,,,
71,金谷口（南）,,,35.954151,136.281921,z1,,,
72,河和田小学校前（南）,,,35.953754,136.278046,z1,,,
73,自然豊かなまち河和田　河和田ｺﾐｭﾆﾃｨｾﾝﾀｰ（西）,,,35.950996,136.274307,z1,,,
74,莇生田口（南）,,,35.948009,136.271896,z1,,,
75,磯部口（南）,,,35.952263,136.240509,z1,,,
76,あじさいのまち北中山　北中山公民館（南）,,,35.952175,136.2382,z1,,,
77,樋口（南）,,,35.953266,136.210678,z1,,,
78,桜あふれるまち中河　中河小学校前（南）,,,35.954727,136.209076,z1,,,
79,神中町１丁目（南）,,,35.968906,136.195679,z1,,,
80,越のゆ前（神中町２丁目東）（南）,,,35.969734,136.192719,z1,,,
81,神中町２丁目（南）,,,35.971031,136.18808,z1,,,
82,体育館北（北）,,,35.946751,136.198571,z1,,,
83,体育館西（西）,,,35.944308,136.196372,z1,,,
84,柳町３丁目（南）,,,35.946465,136.191833,z1,,,
85,柳町１丁目（南）,,,35.946388,136.190277,z1,,,
